Sensor 0056 - IRL-SB
Indian River Lagoon - Sebastian
date [EST]	chlorophyll [ug/L]	phosphate concentration [uM]
2015-01-24 00:00:00	3.01	0.30
2015-01-24 01:00:00	2.74	0.29
2015-01-24 02:00:00	2.82	0.28
2015-01-24 03:00:00	2.52	0.27
2015-01-24 04:00:00	2.43	0.35
2015-01-24 05:00:00	2.65	0.31
2015-01-24 06:00:00	2.43	0.33
2015-01-24 07:00:00	2.23	0.35
2015-01-24 08:00:00	2.20	0.39
2015-01-24 09:00:00	2.37	0.39
2015-01-24 10:00:00	2.50	0.35
2015-01-24 11:00:00	2.86	0.40
2015-01-24 12:00:00	2.78	0.32
2015-01-24 13:00:00	3.05	0.30
2015-01-24 14:00:00	3.48	0.36
2015-01-24 15:00:00	3.34	0.31
2015-01-24 16:00:00	3.70	0.30
2015-01-24 17:00:00	3.88	0.30
2015-01-24 18:00:00	3.87	0.29
2015-01-24 19:00:00	3.95	0.36
2015-01-24 20:00:00	3.59	0.31
2015-01-24 21:00:00	3.69	0.30
2015-01-24 22:00:00	3.72	0.35
2015-01-24 23:00:00	3.23	0.31
2015-01-25 00:00:00	3.00	0.28
2015-01-25 01:00:00	2.94	0.29
2015-01-25 02:00:00	2.54	0.30
2015-01-25 03:00:00	2.57	0.27
2015-01-25 04:00:00	2.80	0.30
2015-01-25 05:00:00	3.01	0.31
2015-01-25 06:00:00	2.74	0.30
2015-01-25 07:00:00	3.02	0.38
2015-01-25 08:00:00	2.46	0.40
2015-01-25 09:00:00	2.64	0.32
2015-01-25 10:00:00	2.58	0.29
2015-01-25 11:00:00	2.62	0.28
2015-01-25 12:00:00	2.74	0.26
2015-01-25 13:00:00	2.75	0.24
2015-01-25 14:00:00	3.13	0.31
2015-01-25 15:00:00	3.36	0.23
2015-01-25 16:00:00	3.22	0.23
2015-01-25 17:00:00	3.67	0.23
2015-01-25 18:00:00	3.35	0.25
2015-01-25 19:00:00	3.06	0.23
2015-01-25 20:00:00	2.80	0.22
2015-01-25 21:00:00	2.91	0.22
2015-01-25 22:00:00	3.03	0.20
2015-01-25 23:00:00	3.32	0.22
2015-01-26 00:00:00	3.66	0.21
2015-01-26 01:00:00	3.30	0.20
2015-01-26 02:00:00	2.83	0.19
2015-01-26 03:00:00	3.19	0.19
2015-01-26 04:00:00	2.48	0.21
2015-01-26 05:00:00	2.58	0.19
2015-01-26 06:00:00	2.66	0.20
2015-01-26 07:00:00	2.27	0.23
2015-01-26 08:00:00	2.29	0.26
2015-01-26 09:00:00	2.38	0.25
2015-01-26 10:00:00	2.23	0.24
2015-01-26 11:00:00	2.37	0.22
2015-01-26 12:00:00	2.34	0.19
2015-01-26 13:00:00	2.48	0.19
2015-01-26 14:00:00	2.94	0.20
2015-01-26 15:00:00	3.19	0.21
2015-01-26 16:00:00	3.31	0.21
2015-01-26 17:00:00	3.33	0.22
2015-01-26 18:00:00	3.26	0.23
2015-01-26 19:00:00	3.66	0.22
2015-01-26 20:00:00	3.41	0.24
2015-01-26 21:00:00	3.26	0.28
2015-01-26 22:00:00	3.25	0.24
2015-01-26 23:00:00	3.06	0.05
2015-01-27 00:00:00	3.20	0.19
2015-01-27 01:00:00	3.14	0.12
2015-01-27 02:00:00	3.30	0.26
2015-01-27 03:00:00	3.66	0.06
2015-01-27 04:00:00	3.26	0.22
2015-01-27 05:00:00	2.99	0.23
2015-01-27 06:00:00	2.62	0.28
2015-01-27 07:00:00	2.41	0.22
2015-01-27 08:00:00	2.24	0.23
2015-01-27 09:00:00	2.57	0.23
2015-01-27 10:00:00	2.28	0.18
2015-01-27 11:00:00	2.24	0.24
2015-01-27 12:00:00	2.49	0.21
2015-01-27 13:00:00	2.91	0.21
2015-01-27 14:00:00	3.03	0.20
2015-01-27 15:00:00	3.13	0.17
2015-01-27 16:00:00	3.35	0.21
2015-01-27 17:00:00	3.41	0.14
2015-01-27 18:00:00	3.31	0.13
2015-01-27 19:00:00	3.66	0.10
2015-01-27 20:00:00	3.04	0.10
2015-01-27 21:00:00	2.87	0.19
2015-01-27 22:00:00	3.01	0.23
2015-01-27 23:00:00	3.65	0.20
2015-01-28 00:00:00	3.08	0.21
2015-01-28 01:00:00	3.04	0.19
2015-01-28 02:00:00	3.04	0.17
2015-01-28 03:00:00	3.08	0.14
2015-01-28 04:00:00	2.96	0.13
2015-01-28 05:00:00	2.82	0.13
2015-01-28 06:00:00	2.60	0.17
2015-01-28 07:00:00	2.85	0.16
2015-01-28 08:00:00	2.59	0.16
2015-01-28 09:00:00	2.72	0.15
2015-01-28 10:00:00	2.64	0.14
2015-01-28 11:00:00	2.55	0.12
2015-01-28 12:00:00	2.41	0.11
2015-01-28 13:00:00	2.48	0.11
2015-01-28 14:00:00	2.75	0.09
2015-01-28 15:00:00	3.12	0.11
2015-01-28 16:00:00	3.36	0.08
2015-01-28 17:00:00	3.47	0.07
2015-01-28 18:00:00	3.33	0.07
2015-01-28 19:00:00	3.47	0.08
2015-01-28 20:00:00	3.37	0.11
2015-01-28 21:00:00	3.26	0.10
2015-01-28 22:00:00	3.60	0.13
2015-01-28 23:00:00	3.53	0.11
2015-01-29 00:00:00	3.28	0.12
2015-01-29 01:00:00	3.08	0.07
2015-01-29 02:00:00	3.22	0.07
2015-01-29 03:00:00	3.05	0.05
2015-01-29 04:00:00	3.38	0.13
2015-01-29 05:00:00	3.50	0.11
2015-01-29 06:00:00	3.53	0.15
2015-01-29 07:00:00	3.19	0.13
2015-01-29 08:00:00	2.88	0.13
2015-01-29 09:00:00	2.91	0.14
2015-01-29 10:00:00	2.25	0.12
2015-01-29 11:00:00	2.71	0.10
2015-01-29 12:00:00	2.63	0.15
2015-01-29 13:00:00	3.87	0.15
2015-01-29 14:00:00	2.83	0.18
2015-01-29 15:00:00	3.38	0.17
2015-01-29 16:00:00	3.33	0.14
2015-01-29 17:00:00	3.12	0.15
2015-01-29 18:00:00	3.85	0.22
2015-01-29 19:00:00	3.38	0.18
2015-01-29 20:00:00	3.45	0.18
2015-01-29 21:00:00	3.04	0.19
2015-01-29 22:00:00	3.52	0.20
2015-01-29 23:00:00	3.62	0.19
2015-01-30 00:00:00	3.85	0.26
2015-01-30 01:00:00	3.70	0.20
2015-01-30 02:00:00	2.94	0.18
2015-01-30 03:00:00	3.04	0.17
2015-01-30 04:00:00	2.57	0.15
2015-01-30 05:00:00	2.82	0.15
2015-01-30 06:00:00	2.74	0.17
2015-01-30 07:00:00	2.84	0.17
2015-01-30 08:00:00	2.57	0.16
2015-01-30 09:00:00	2.76	0.18
2015-01-30 10:00:00	2.35	0.20
2015-01-30 11:00:00	1.95	0.17
2015-01-30 12:00:00	2.40	0.22
2015-01-30 13:00:00	2.59	0.21
2015-01-30 14:00:00	2.46	0.19
2015-01-30 15:00:00	2.28	0.18
2015-01-30 16:00:00	2.63	0.12
2015-01-30 17:00:00	3.01	0.15
2015-01-30 18:00:00	3.12	0.17
2015-01-30 19:00:00	2.98	0.15
2015-01-30 20:00:00	2.88	0.15
2015-01-30 21:00:00	2.77	0.15
2015-01-30 22:00:00	2.91	0.16
2015-01-30 23:00:00	2.97	0.19
2015-01-31 00:00:00	2.73	0.18
2015-01-31 01:00:00	2.84	0.17
2015-01-31 02:00:00	2.67	0.14
2015-01-31 03:00:00	2.85	0.18
2015-01-31 04:00:00	2.42	0.11
2015-01-31 05:00:00	2.33	0.09
2015-01-31 06:00:00	2.59	0.13
2015-01-31 07:00:00	2.19	0.12
2015-01-31 08:00:00	2.02	0.13
2015-01-31 09:00:00	3.41	0.10
2015-01-31 10:00:00	2.36	0.13
2015-01-31 11:00:00	2.78	0.13
2015-01-31 12:00:00	3.00	0.14
2015-01-31 13:00:00	3.01	0.15
2015-01-31 14:00:00	3.30	0.15
2015-01-31 15:00:00	3.28	0.15
2015-01-31 16:00:00	3.87	0.16
2015-01-31 17:00:00	3.82	0.16
2015-01-31 18:00:00	3.17	0.16
2015-01-31 19:00:00	2.98	0.13
2015-01-31 20:00:00	2.95	0.13
2015-01-31 21:00:00	3.01	0.13
2015-01-31 22:00:00	3.03	0.14
2015-01-31 23:00:00	2.95	0.16
2015-02-01 00:00:00	3.00	0.18
2015-02-01 01:00:00	2.86	0.17
2015-02-01 02:00:00	2.84	0.21
2015-02-01 03:00:00	2.73	0.17
2015-02-01 04:00:00	2.57	0.19
2015-02-01 05:00:00	2.75	0.17
2015-02-01 06:00:00	2.76	0.19
2015-02-01 07:00:00	2.42	0.16
2015-02-01 08:00:00	2.13	0.17
2015-02-01 09:00:00	2.27	0.15
2015-02-01 10:00:00	2.18	0.18
2015-02-01 11:00:00	1.99	0.17
2015-02-01 12:00:00	2.33	0.18
2015-02-01 13:00:00	2.83	0.18
2015-02-01 14:00:00	2.85	0.19
2015-02-01 15:00:00	3.24	0.21
2015-02-01 16:00:00	2.98	0.20
2015-02-01 17:00:00	2.95	0.19
2015-02-01 18:00:00	3.02	0.20
2015-02-01 19:00:00	3.29	0.18
2015-02-01 20:00:00	3.50	0.17
2015-02-01 21:00:00	3.98	0.17
2015-02-01 22:00:00	3.51	0.19
2015-02-01 23:00:00	3.35	0.17
2015-02-02 00:00:00	2.52	0.09
2015-02-02 01:00:00	2.72	0.19
2015-02-02 02:00:00	2.84	0.11
2015-02-02 03:00:00	2.61	0.17
2015-02-02 04:00:00	2.55	0.08
2015-02-02 05:00:00	2.51	0.21
2015-02-02 06:00:00	2.38	0.39
2015-02-02 07:00:00	2.30	0.14
2015-02-02 08:00:00	2.49	0.43
2015-02-02 09:00:00	2.80	0.12
2015-02-02 10:00:00	2.41	0.19
2015-02-02 11:00:00	2.29	0.20
2015-02-02 12:00:00	2.44	0.21
2015-02-02 13:00:00	2.49	0.20
2015-02-02 14:00:00	2.93	0.18
2015-02-02 15:00:00	3.45	0.22
2015-02-02 16:00:00	3.19	0.23
2015-02-02 17:00:00	3.30	0.24
2015-02-02 18:00:00	3.35	0.24
2015-02-02 19:00:00	3.27	0.22
2015-02-02 20:00:00	3.00	0.20
2015-02-02 21:00:00	3.11	0.19
2015-02-02 22:00:00	3.21	0.20
2015-02-02 23:00:00	3.08	0.21
2015-02-03 00:00:00	2.69	0.22
2015-02-03 01:00:00	2.66	0.24
2015-02-03 02:00:00	2.74	0.25
2015-02-03 03:00:00	2.61	0.23
2015-02-03 04:00:00	2.72	0.21
2015-02-03 05:00:00	2.60	0.21
2015-02-03 06:00:00	2.52	0.22
2015-02-03 07:00:00	2.38	0.26
2015-02-03 08:00:00	2.41	0.23
2015-02-03 09:00:00	2.50	0.23
2015-02-03 10:00:00	2.60	0.21
2015-02-03 11:00:00	2.60	0.22
2015-02-03 12:00:00	2.59	0.22
2015-02-03 13:00:00	2.70	0.21
2015-02-03 14:00:00	2.84	0.23
2015-02-03 15:00:00	3.19	0.21
2015-02-03 16:00:00	3.41	0.17
2015-02-03 17:00:00	3.49	0.22
2015-02-03 18:00:00	3.43	0.21
2015-02-03 19:00:00	3.05	0.21
2015-02-03 20:00:00	3.05	0.21
2015-02-03 21:00:00	3.12	0.17
2015-02-03 22:00:00	3.30	0.17
2015-02-03 23:00:00	3.19	0.19
2015-02-04 00:00:00	2.95	0.19
2015-02-04 01:00:00	2.84	0.07
2015-02-04 02:00:00	2.88	0.28
2015-02-04 03:00:00	2.93	0.21
2015-02-04 04:00:00	2.89	0.20
2015-02-04 05:00:00	2.68	0.45
2015-02-04 06:00:00	2.46	0.19
2015-02-04 07:00:00	2.51	0.19
2015-02-04 08:00:00	2.45	0.30
2015-02-04 09:00:00	2.71	0.17
2015-02-04 10:00:00	2.69	0.07
2015-02-04 11:00:00	2.81	0.18
2015-02-04 12:00:00	2.36	0.16
2015-02-04 13:00:00	2.35	0.19
2015-02-04 14:00:00	2.63	0.23
2015-02-04 15:00:00	3.24	0.11
2015-02-04 16:00:00	3.30	0.09
2015-02-04 17:00:00	3.16	0.20
2015-02-04 18:00:00	3.25	0.26
2015-02-04 19:00:00	3.50	0.22
2015-02-04 20:00:00	3.45	0.21
2015-02-04 21:00:00	3.38	-0.01
2015-02-04 22:00:00	3.26	-0.15
2015-02-04 23:00:00	2.88	0.17
2015-02-05 00:00:00	2.41	0.47
2015-02-05 01:00:00	2.39	0.16
2015-02-05 02:00:00	2.23	0.12
2015-02-05 03:00:00	2.32	0.16
2015-02-05 04:00:00	2.15	0.15
2015-02-05 05:00:00	1.98	0.17
2015-02-05 06:00:00	2.19	-0.03
2015-02-05 07:00:00	2.06	-0.00
2015-02-05 08:00:00	2.11	0.17
